date,symbol,open,high,low,close,adj_close,volume,close_pct_change,created_at
2024-10-18,RNEW,24.8814,24.8814,24.8814,24.8814,24.8814,N/A,0.0,2025-11-02 14:18:16.705161
2024-10-18,AAPL,236.18,236.18,234.01,235,235,45441281,-0.49961893471081664,2025-11-02 14:18:16.705248
2024-10-18,ADBE,491.29,499,491.05,494.86,494.86,1905088,0.7266583891387964,2025-11-02 14:18:16.705287
2024-10-18,AMZN,187.15,190.74,186.28,188.99,188.99,36566996,0.9831685813518586,2025-11-02 14:18:16.705319
2024-10-18,AXP,276.8,279.2,269.05,276.79,276.79,7869044,-0.0036127167630024947,2025-11-02 14:18:16.705350
2024-10-18,BABA,103.37,103.37,101.66,102.41,102.41,19646659,-0.9287027183902563,2025-11-02 14:18:16.705378
2024-10-18,BAC,42.43,42.65,42.11,42.33,42.33,25717694,-0.23568230025925388,2025-11-02 14:18:16.705405
2024-10-18,CRM,292.04,294.71,290.15,292.94,292.94,3074928,0.30817696205998396,2025-11-02 14:18:16.705430
2024-10-18,CSCO,56.41,56.87,56.21,56.74,56.74,16142036,0.5850026591030055,2025-11-02 14:18:16.705456
2024-10-18,GOOG,164.87,166.37,164.75,165.05,165.05,12717581,0.10917692727603981,2025-11-02 14:18:16.705481
2024-10-18,INTC,22.61,22.82,22.5,22.78,22.78,34377003,0.7518796992481279,2025-11-02 14:18:16.705506
2024-10-18,JPM,225,225.92,223.1,225.5,225.5,5364080,0.2222222222222222,2025-11-02 14:18:16.705531
2024-10-18,MA,514.54,518,512.58,516.45,516.45,1874671,0.37120534846660747,2025-11-02 14:18:16.705556
2024-10-18,MSFT,417.14,419.65,416.26,418.16,418.16,15820564,0.24452222275495966,2025-11-02 14:18:16.705581
2024-10-18,NFLX,737.64,766.28,736.23,763.89,763.89,15827594,3.558646494224825,2025-11-02 14:18:16.705605
2024-10-18,NVDA,138.665,138.9,137.28,138,138,169234338,-0.47957307179172254,2025-11-02 14:18:16.705630
2024-10-18,PYPL,79.5,80.97,78.94,80.95,80.95,8266294,1.8238993710691858,2025-11-02 14:18:16.705654
2024-10-18,TSLA,220.71,222.28,219.23,220.7,220.7,49126022,-0.004530832313904819,2025-11-02 14:18:16.705678
2024-10-18,V,289.92,291.04,288.08,290.62,290.62,5169205,0.24144591611478636,2025-11-02 14:18:16.705703
2024-10-18,WFC,64.41,64.78,63.83,64.36,64.36,18231260,-0.07762769756248589,2025-11-02 14:18:16.705727
2024-10-18,A,138.53,139.52,137.24,138.88,138.88,951715,0.25265285497725715,2025-11-02 14:18:16.705751
2024-10-18,AA,41.77,42.17,40.85,41.71,41.71,4489893,-0.14364376346660826,2025-11-02 14:18:16.705776
2024-10-18,AAA,25.14,25.14,25.09,25.13,25.13,N/A,-0.039777247414485135,2025-11-02 14:18:16.705800
